2022-09-18/05:30:23		 wafer_28042020_031911.csv: File loaded successfully!!
2022-09-18/05:30:23		 wafer_29012020_050617.csv: File loaded successfully!!
2022-09-19/01:45:40		 wafer_13012020_090817.csv: File loaded successfully!!
2022-09-19/01:45:40		 wafer_16012020_051629.csv: File loaded successfully!!
2022-09-19/01:45:40		 wafer_20022020_090716.csv: File loaded successfully!!
2022-09-19/01:45:40		 wafer_21012020_080913.csv: File loaded successfully!!
2022-09-19/01:45:41		 wafer_23012020_041211.csv: File loaded successfully!!
2022-09-19/01:45:41		 wafer_27012020_080911.csv: File loaded successfully!!
2022-09-19/01:45:41		 wafer_28012020_090817.csv: File loaded successfully!!
2022-09-19/01:45:41		 wafer_28042020_031911.csv: File loaded successfully!!
2022-09-19/01:45:41		 wafer_29012020_050617.csv: File loaded successfully!!
2022-09-20/22:14:26		 wafer_13012020_090817.csv: File loaded successfully!!
2022-09-20/22:14:27		 wafer_16012020_051629.csv: File loaded successfully!!
2022-09-20/22:14:27		 wafer_20022020_090716.csv: File loaded successfully!!
2022-09-20/22:14:27		 wafer_21012020_080913.csv: File loaded successfully!!
2022-09-20/22:14:28		 wafer_23012020_041211.csv: File loaded successfully!!
2022-09-20/22:14:28		 wafer_27012020_080911.csv: File loaded successfully!!
2022-09-20/22:14:28		 wafer_28012020_090817.csv: File loaded successfully!!
2022-09-20/22:14:28		 wafer_28042020_031911.csv: File loaded successfully!!
2022-09-20/22:14:28		 wafer_29012020_050617.csv: File loaded successfully!!
